criteria_name,major_code,criteria
Admission,10020112610101A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
Admission,10020112610201A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
Admission,10020112610202A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
Admission,10020112610501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
Admission,10020112610501B,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
Admission,10020112610601A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมการเงิน (หลักสูตรนานาชาติ),10160101300201G,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 35}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 20}}'"
วศ.บ. วิศวกรรมเกษตรอัจฉริยะ,10160101300401A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
"วศ.บ. วิศวกรรมคอมพิวเตอร์
",10160101300501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),10160101300503E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3) "": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 10}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมเคมี,10160101300601A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมเครื่องกล,10160101300701A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมขนส่งทางราง,10160101300702A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมชีวการแพทย์ (หลักสูตรนานาชาติ),10160101300901E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 15}}'"
วศ.บ. วิศวกรรมไฟฟ้า,10160101301601A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมไฟฟ้าสื่อสารและเครือข่าย,10160101301801A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมโยธา,10160101302101A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมโยธา (หลักสูตรนานาชาติ),10160101302102E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 15}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 20}}'"
วศ.บ. วิศวกรรมระบบไอโอทีและสารสนเทศ,10160101302601A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมอวกาศและภูมิสารสนเทศ,10160101302602A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ),10160101302901E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 15}}'"
วศ.บ. วิศวกรรมอาหาร,10160101303301A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมอิเล็กทรอนิกส์,10160101303401A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมอุตสาหการ,10160101303501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 30}}'"
วศ.บ. วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์ (หลักสูตรนานาชาติ),10160101303502E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 15}}'"
"บธ.บ. บริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) แขนง INNOVATION & TECHNOLOGICAL MARKETING
",10160110610802E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 60}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""สมรรถนะการทำงาน (TGAT3)"": {""min_score"": 1, ""weight"": 20}, ""GPAX"": {""min_score"": 2.5, ""weight"": 0}}'"
"บธ.บ. การเป็นผู้ประกอบการระดับโลก (หลักสูตรนานาชาติ)
",10160110610803E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 60, ""weight"": 60}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""สมรรถนะการทำงาน (TGAT3)"": {""min_score"": 1, ""weight"": 20}, ""GPAX"": {""min_score"": 2.5, ""weight"": 0}}'"
บธ.บ. บริหารธุรกิจ แขนงนวัตกรรมการจัดการอุตสาหกรรม,10160110610804A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 1, ""weight"": 50}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
บธ.บ. บริหารธุรกิจ แขนงการจัดการและการเป็นผู้ประกอบการนวัตกรรม,10160110610805A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 30, ""weight"": 15}, ""A-Level สังคมศาสตร์"": {""min_score"": 1, ""weight"": 15}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 60, ""weight"": 70}, ""GPAX"": {""min_score"": 2, ""weight"": 0}}'"
บธ.บ. บริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) แขนง GLOBAL BUSINESS & FINANCIAL MANAGEMENT,10160110610806E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 60}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""สมรรถนะการทำงาน (TGAT3)"": {""min_score"": 1, ""weight"": 20}, ""GPAX"": {""min_score"": 2.5, ""weight"": 0}}'"
"บธ.บ. บริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) แขนง DIGITAL SUPPLY CHAIN MANAGEMENT",10160110610807E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 60}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""สมรรถนะการทำงาน (TGAT3)"": {""min_score"": 1, ""weight"": 20}, ""GPAX"": {""min_score"": 2.5, ""weight"": 0}}'"
ศ.บ. เศรษฐศาสตร์ธุรกิจและการจัดการ,10160110611101A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 40}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 60, ""weight"": 30}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
