criteria_name,major_code,criteria
สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาสารสนเทศศึกษา,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาฝรั่งเศส"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาคณิตศาสตร์ประยุกต์ 2,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาเยอรมัน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาญี่ปุ่น"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาเกาหลี"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาจีน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาจีน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาบาลี (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาบาลี"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาสเปน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาสเปน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
Admission,10020105300501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 45}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 15}}'"
Admission,10020105300601A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105300601B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105300701A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105300701B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105300701E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105301001E,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 50}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 5}}'"
Admission,10020105301601A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105301601B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105301601D,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105301901A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105301901B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105301902E,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105302101A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 20}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 20}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105302103A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105302501A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 30}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission (วิศวกรรมวัสดุ (พิเศษ) ใช้คะแนน A-Level ฟิสิกส์),10020105302501B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 30}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission (วิศวกรรมวัสดุ (พิเศษ) ใช้คะแนน A-Level เคมี),10020105302501B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 30}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105302701B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105302801A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105303201A,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105303201G,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105303501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105303501B,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 1, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 30}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 20}}'"
Admission,10020105303501D,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 25}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 1, ""weight"": 25}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 25}, ""A-Level ฟิสิกส์"": {""min_score"": 1, ""weight"": 25}}'"
Admission,10020105620202B,"'{""การสื่อสารภาษาอังกฤษ (TGAT1)"": {""min_score"": 1, ""weight"": 35}, ""การคิดอย่างมีเหตุผล (TGAT2)"": {""min_score"": 1, ""weight"": 25}, ""สมรรถนะการทำงาน (TGAT3)"": {""min_score"": 1, ""weight"": 5}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 1, ""weight"": 35}}'"
